Date,BAJAJELEC,upper,lower
2018-06-13,528.55,569.541331442864,501.2229542714208
2018-06-14,533.5,562.2180272271985,503.867687058515
2018-06-15,537.6,558.4413709600148,505.2157718971271
2018-06-18,538.15,555.9050530920526,506.1092326222321
2018-06-19,536.55,555.0657950483887,506.255633523039
2018-06-20,537.15,555.5238344730416,506.30473695552894
2018-06-21,531.6,554.6759242054727,506.1883615088121
2018-06-22,545.2,557.0349116624444,506.0793740518403
2018-06-25,538.3,545.6209556979969,524.2147585877166
2018-06-26,532.35,545.4243192702887,523.8899664439963
2018-06-27,524.3,545.8324299701508,521.7604271727055
2018-06-28,529.1,545.2676444445933,522.9966412696917
2018-06-29,543.6,546.8000062572862,523.7499937427131
2018-07-02,523.45,547.2482913409542,521.2374229447594
2018-07-03,525.65,547.5154671122111,520.5559614592166
2018-07-04,522.05,548.1489093054153,518.2868049802984
2018-07-05,518.85,548.395821818369,515.3613210387731
2018-07-06,519.8,547.836530743102,513.2991835426117
2018-07-09,523.3,546.930106443237,512.3127506996195
2018-07-10,551.25,551.1643456281902,510.0927972289522
2018-07-11,541.55,552.6923319236041,509.98623950496676
2018-07-12,564.0,559.4644736324497,505.89981208183553
2018-07-13,550.35,561.834874422612,505.25083986310176
2018-07-16,524.2,561.6904677873272,504.2309607841008
2018-07-17,524.55,561.6854377818304,504.2717050753117
2018-07-18,525.15,561.6441391036044,503.748718039252
2018-07-19,524.45,559.863697266617,502.793445590525
2018-07-20,544.05,561.7071457761359,503.8928542238633
2018-07-23,574.2,572.2603693372795,500.27534494843405
2018-07-24,631.05,605.1791982371936,482.92794461994833
2018-07-25,631.9,627.191639416923,477.06550344021906
2018-07-26,596.8,633.7638934069209,481.49324945022084
2018-07-27,609.3,641.8288208127544,485.71403633010164
2018-07-30,608.55,649.0401103512688,486.6884610773016
2018-07-31,612.45,655.8600697063257,489.99707315081633
2018-08-01,607.55,660.7755478508637,491.30302357770677
2018-08-02,596.3,663.3278451238431,495.3150120190131
2018-08-03,604.6,663.6565384991625,506.47203292940793
2018-08-06,618.05,663.8027559145652,519.6829583711482
2018-08-07,618.85,660.5747943780775,536.2966341933504
2018-08-08,623.95,652.0154935439245,559.070220741789
2018-08-09,627.45,642.9802502189241,580.0197497810755
2018-08-10,606.6,637.2072967866742,590.4212746418967
2018-08-13,557.4,644.8284083159882,572.2787345411542
2018-08-14,558.65,645.7065259939469,560.9363311489097
2018-08-16,540.05,653.5302340669324,545.0054802187814
2018-08-17,545.2,655.7025778167996,533.6759936117716
2018-08-20,548.35,655.5396936895281,525.2388777390431
2018-08-21,543.95,653.7260010487599,517.2668560940971
2018-08-23,559.15,650.3600020068211,513.7185694217501
2018-08-24,565.7,648.1669045599325,511.54023829721
2018-08-27,553.55,644.2798512385012,508.13443447578413
2018-08-28,542.1,636.5570458000032,505.00723991428237
2018-08-29,543.7,626.3811799914424,504.4473914371285
2018-08-30,544.95,611.2919952531782,508.2508618896787
2018-08-31,566.7,589.7640210047579,521.1002647095276
2018-09-03,570.55,573.2250987283994,532.4891869858861
2018-09-04,545.4,572.5535697816476,531.4464302183521
2018-09-05,536.7,572.118104538972,528.7461811753136
2018-09-06,539.2,572.1869739915608,528.5558831512963
2018-09-07,534.8,572.8647075526746,526.3924353044683
2018-09-10,532.85,573.4364136911573,523.6064434516996
2018-09-11,525.75,574.9089073933853,519.5339497494717
2018-09-12,530.05,573.3373426141126,516.9483716716016
2018-09-14,539.8,568.9626795072523,517.623034778462
2018-09-17,541.9,567.4443451905014,517.4770833809272
2018-09-18,532.6,567.3179279181339,516.2463577961518
2018-09-19,526.5,567.3173950109199,513.789747846223
2018-09-21,516.1,568.0910862256077,508.8946280601066
2018-09-24,516.35,561.848022338648,507.9448348042092
2018-09-25,503.05,553.466870711519,506.68312928848104
2018-09-26,491.9,555.586474043621,496.92066881352196
2018-09-27,491.55,556.9785961093281,489.07854674781504
2018-09-28,502.55,554.6401478316982,486.1812807397307
2018-10-01,500.5,552.6604189745774,483.2610095968514
2018-10-03,495.7,550.7754137729635,479.83887194132245
2018-10-04,496.25,549.491363668549,476.90863633145113
2018-10-05,488.75,547.3465476311966,473.1534523688035
2018-10-08,477.55,542.5639067473228,469.0432361098202
